lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pre
ligand_0.pkl,ligand_1046.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1046.pkl,0.9371775388717651
ligand_0.pkl,ligand_1047.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1047.pkl,0.8607127666473389
ligand_0.pkl,ligand_1048.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1048.pkl,0.940333366394043
ligand_0.pkl,ligand_1049.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1049.pkl,0.9089864492416382
ligand_0.pkl,ligand_105.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_105.pkl,0.860148012638092
ligand_0.pkl,ligand_1050.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1050.pkl,0.9354997873306274
ligand_0.pkl,ligand_1051.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1051.pkl,0.8091946840286255
ligand_0.pkl,ligand_1052.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1052.pkl,0.90723717212677
ligand_0.pkl,ligand_1053.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1053.pkl,1.0075093507766724
ligand_0.pkl,ligand_1054.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1054.pkl,0.980514407157898
